球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,279,42.3%,146.9,30,45,73,94,53.0%,21.4%,0.288,52,15,3,15,6,0
スライダー,92,14.0%,126.9,21,18,13,23,56.5%,41.2%,0.2,25,5,0,8,0,0
フォーク,79,12.0%,135.9,21,9,13,21,54.4%,42.9%,0.3,20,6,0,6,0,0
スプリット,44,6.7%,140.2,7,4,4,17,34.1%,30.4%,0.214,14,3,0,2,0,0
カットボール,43,6.5%,136.4,7,7,10,8,55.8%,25.0%,0.385,13,5,0,2,0,0
チェンジアップ,42,6.4%,131.7,10,7,5,10,52.4%,40.0%,0.267,15,4,0,5,1,0
カーブ,33,5.0%,117.9,4,10,5,8,57.6%,26.7%,0.125,8,1,0,2,0,0
ナックルカーブ,14,2.1%,125.1,3,4,0,7,50.0%,100.0%,0.0,1,0,0,1,1,0
シンカー,12,1.8%,140.6,2,1,2,2,41.7%,22.2%,0.5,6,3,0,1,0,0
ツーシーム,9,1.4%,137.6,1,1,3,1,55.6%,14.3%,0.333,3,1,0,0,0,0
シュート,7,1.1%,147.3,0,0,2,2,28.6%,0.0%,0.0,2,0,0,0,0,0
パワーカーブ,2,0.3%,120.5,0,1,0,0,50.0%,0.0%,0.0,1,0,0,0,0,0
パーム,2,0.3%,126.5,0,0,0,1,0.0%,0.0%,0.0,1,0,0,0,0,0
縦スライダー,1,0.2%,133.0,0,0,0,0,0.0%,0.0%,0.0,1,0,0,0,0,0
