球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,104,37.8%,146.8,12,12,23,40,45.2%,23.1%,0.217,23,5,1,6,3,0
フォーク,38,13.8%,135.6,8,0,2,18,26.3%,40.0%,0.364,11,4,0,1,2,0
スライダー,31,11.3%,127.0,3,13,6,7,71.0%,27.3%,0.333,3,1,0,1,0,0
カットボール,31,11.3%,136.1,4,7,6,7,54.8%,23.5%,0.0,8,0,0,1,0,0
チェンジアップ,17,6.2%,129.9,6,0,5,6,64.7%,54.5%,0.0,1,0,0,1,0,0
シンカー,11,4.0%,131.6,1,1,1,4,27.3%,16.7%,0.5,4,2,0,0,0,0
ツーシーム,11,4.0%,136.3,4,0,2,2,54.5%,44.4%,0.667,3,2,0,0,0,0
ナックルカーブ,9,3.3%,127.5,2,3,1,3,66.7%,66.7%,0.0,2,0,0,2,0,0
カーブ,8,2.9%,112.6,0,2,0,4,25.0%,0.0%,0.5,2,1,0,0,0,0
縦スライダー,5,1.8%,124.3,0,1,0,4,20.0%,-%,0.0,1,0,0,1,0,0
シュート,5,1.8%,146.3,0,0,1,1,20.0%,0.0%,0.333,3,1,0,0,0,0
スプリット,4,1.5%,143.8,1,0,1,1,50.0%,33.3%,0.0,1,0,0,0,0,0
スクリュー,1,0.4%,134.0,1,0,0,0,100.0%,100.0%,0.0,1,0,0,1,0,0
