球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
マツダスタジアム,3.33,28,0,28,0,0,11,5,11,5,0,0,24.1,30,2,25,9,1,9,9,1.6,0.309,-,2.70
東京ドーム,0.00,5,0,5,0,0,3,1,3,1,0,0,5.0,0,0,8,1,0,0,0,0.2,0.0,-,99.00
甲子園,0.00,6,0,6,1,0,1,0,2,1,1,0,6.0,4,0,5,4,0,0,0,1.33,0.174,-,99.00
横浜,0.00,3,0,3,0,0,1,0,1,0,0,0,3.0,1,0,4,0,1,0,0,0.33,0.111,-,99.00
神宮,20.25,3,0,3,0,1,0,0,0,0,0,1,2.2,6,1,4,1,0,6,6,2.63,0.429,-,0.44
バンテリンドーム,3.60,5,0,5,0,1,1,2,1,2,0,1,5.0,7,0,2,1,0,3,2,1.6,0.333,-,1.67
Ce その他,0.00,2,0,2,0,0,2,0,2,0,0,0,2.0,2,0,4,0,1,0,0,1.0,0.25,-,99.00
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
エスコンＦ,18.00,1,0,1,0,0,0,0,0,0,0,0,1.0,2,0,1,1,0,2,2,3.0,0.4,-,0.50
ZOZOマリン,0.00,1,0,1,0,0,1,0,1,0,0,0,1.0,2,0,1,0,0,0,0,2.0,0.4,-,99.00
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,0.00,1,0,1,0,0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0.0,0.0,-,99.00
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
