球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,224,39.9%,146.5,16,27,61,81,46.4%,13.8%,.184,49,9,3,12,3,0
スライダー,83,14.8%,129.6,13,21,16,19,60.2%,30.2%,.211,19,4,0,5,1,1
カットボール,55,9.8%,135.4,9,9,18,15,65.5%,29.0%,.143,7,1,0,3,0,0
チェンジアップ,50,8.9%,130.8,7,3,7,25,34.0%,31.8%,.111,9,1,0,2,2,0
フォーク,45,8.0%,134.9,13,3,8,13,53.3%,44.8%,.167,12,2,0,4,0,0
ツーシーム,35,6.2%,140.7,4,3,7,13,40.0%,21.1%,.250,8,2,0,0,0,0
カーブ,30,5.3%,116.8,2,10,2,13,46.7%,28.6%,.667,3,2,0,0,0,0
シュート,20,3.6%,144.9,2,4,4,7,50.0%,22.2%,.000,6,0,0,3,1,0
ナックルカーブ,8,1.4%,125.3,1,2,1,3,50.0%,33.3%,.500,2,1,0,1,0,0
スクリュー,5,0.9%,138.0,0,1,1,1,40.0%,0.0%,.000,2,0,0,0,0,0
縦スライダー,4,0.7%,124.0,0,1,1,2,50.0%,0.0%,-,0,0,0,0,0,0
スプリット,3,0.5%,138.0,2,0,0,1,66.7%,100.0%,.000,1,0,0,1,0,0
