条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.294,19,17,5,0,0,0,0,0,0,1,1,0.278
1-0より,.286,7,7,2,0,0,1,0,0,0,0,0,0.286
2-0より,.500,6,6,3,1,1,0,0,0,0,0,0,0.5
3-0より,-,4,0,0,0,0,0,0,4,0,0,0,1.0
0-1より,.200,17,15,3,1,0,0,0,0,2,0,0,0.294
1-1より,.182,11,11,2,0,0,0,0,0,0,0,0,0.182
2-1より,.200,5,5,1,0,0,0,0,0,0,0,0,0.2
3-1より,.571,8,7,4,1,0,0,0,1,0,0,0,0.625
0-2より,.050,21,20,1,0,0,0,13,0,1,0,0,0.095
1-2より,.147,35,34,5,1,0,0,22,0,1,0,0,0.171
2-2より,.333,30,30,10,1,0,0,7,0,0,0,0,0.333
3-2より,.357,19,14,5,0,1,0,4,5,0,0,0,0.526
