球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
エスコンＦ,.254,41,70,63,9,16,2,0,1,21,8,13,6,0,1,0,0,3,1,1,.329,.333,0.662
みずほPayPay,.143,5,7,7,1,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,.143,.143,0.286
ZOZOマリン,.259,8,30,27,3,7,1,0,0,8,6,8,2,0,0,0,1,2,0,2,.300,.296,0.596
楽天モバイル,.167,9,18,18,1,3,0,1,0,5,2,9,0,0,0,0,0,0,0,0,.167,.278,0.444
京セラD大阪,.250,3,8,8,0,2,0,0,0,2,0,3,0,0,0,0,0,1,0,0,.250,.250,0.5
ベルーナドーム,.280,11,28,25,4,7,1,0,0,8,0,4,1,0,2,0,0,2,0,0,.357,.320,0.677
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
東京ドーム,.286,4,9,7,1,2,0,0,0,2,0,3,1,0,1,0,0,2,1,0,.444,.286,0.73
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,.167,3,6,6,0,1,0,1,0,3,0,1,0,0,0,0,0,1,0,1,.167,.500,0.667
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
バンテリンドーム,.400,2,6,5,1,2,1,0,0,3,1,2,0,0,0,1,0,0,0,0,.400,.600,1.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
