球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,317,44.2%,148.6,42,53,72,92,52.7%,24.4%,.244,78,19,0,21,8,0
フォーク,81,11.3%,137.0,13,8,18,23,48.1%,26.0%,.360,25,9,0,6,0,2
スライダー,69,9.6%,130.1,7,11,10,35,40.6%,30.4%,.125,8,1,0,3,0,1
チェンジアップ,46,6.4%,132.5,12,2,8,16,47.8%,42.9%,.167,12,2,0,4,0,0
カットボール,44,6.1%,138.5,5,10,6,15,47.7%,26.3%,.400,10,4,1,2,1,1
スプリット,42,5.8%,139.2,8,4,6,13,42.9%,32.0%,.200,15,3,0,4,0,0
カーブ,40,5.6%,115.4,5,11,3,20,47.5%,55.6%,.000,4,0,0,3,0,0
シンカー,25,3.5%,131.2,3,5,4,8,48.0%,25.0%,.167,6,1,0,1,0,0
ツーシーム,22,3.1%,142.6,1,3,6,8,45.5%,9.1%,.250,4,1,0,0,1,0
ナックルカーブ,13,1.8%,126.3,4,4,1,4,69.2%,80.0%,.000,2,0,0,2,0,0
シュート,11,1.5%,142.3,1,1,2,5,36.4%,20.0%,.500,2,1,0,0,0,0
縦スライダー,6,0.8%,129.8,0,3,1,2,66.7%,0.0%,-,0,0,0,0,0,0
パワーカーブ,1,0.1%,121.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
パーム,1,0.1%,130.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
