条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.400,69,60,24,3,1,4,0,1,2,5,1,0.422
1-0より,.243,38,37,9,1,0,2,0,0,0,1,0,0.243
2-0より,.333,4,3,1,0,0,0,0,1,0,0,0,0.5
3-0より,-,2,0,0,0,0,0,0,2,0,0,0,1.0
0-1より,.284,69,67,19,5,1,0,0,0,0,2,0,0.284
1-1より,.328,61,61,20,3,0,2,0,0,0,0,0,0.328
2-1より,.429,16,14,6,1,0,0,0,0,0,1,1,0.4
3-1より,.500,8,2,1,0,0,0,0,6,0,0,0,0.875
0-2より,.167,48,48,8,2,0,0,21,0,0,0,0,0.167
1-2より,.169,77,77,13,0,0,3,18,0,0,0,0,0.169
2-2より,.303,66,66,20,1,0,3,11,0,0,0,0,0.303
3-2より,.160,28,25,4,1,0,1,6,3,0,0,0,0.25
