条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.304,112,102,31,3,3,4,0,1,2,5,2,0.318
1-0より,.345,30,29,10,2,1,0,0,0,0,1,0,0.345
2-0より,.333,20,18,6,2,0,1,0,1,1,0,0,0.4
3-0より,-,4,0,0,0,0,0,0,4,0,0,0,1.0
0-1より,.375,84,80,30,4,0,4,0,0,1,3,0,0.383
1-1より,.380,74,71,27,4,0,1,0,0,1,2,0,0.389
2-1より,.389,20,18,7,1,1,1,0,0,1,0,1,0.4
3-1より,.364,16,11,4,1,0,1,0,5,0,0,0,0.563
0-2より,.141,86,85,12,0,0,0,42,0,1,0,0,0.151
1-2より,.139,153,151,21,1,0,1,82,0,0,1,1,0.138
2-2より,.157,116,115,18,4,0,2,46,0,1,0,0,0.164
3-2より,.203,82,64,13,3,0,0,25,18,0,0,0,0.378
