条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.271,53,48,13,1,0,2,0,0,0,3,2,0.26
1-0より,.306,38,36,11,1,0,1,0,0,0,2,0,0.306
2-0より,.667,4,3,2,0,0,1,0,1,0,0,0,0.75
3-0より,-,2,0,0,0,0,0,0,2,0,0,0,1.0
0-1より,.233,62,60,14,2,0,0,0,0,0,2,0,0.233
1-1より,.231,52,52,12,1,0,0,0,0,0,0,0,0.231
2-1より,.409,22,22,9,1,0,2,0,0,0,0,0,0.409
3-1より,.500,10,8,4,0,0,2,0,2,0,0,0,0.6
0-2より,.100,30,30,3,0,0,0,16,0,0,0,0,0.1
1-2より,.221,69,68,15,1,0,2,17,0,1,0,0,0.232
2-2より,.274,62,62,17,3,1,0,11,0,0,0,0,0.274
3-2より,.152,46,33,5,2,0,1,7,13,0,0,0,0.391
