条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.214,16,14,3,0,0,0,0,0,0,2,0,0.214
1-0より,.429,8,7,3,1,0,0,0,0,0,1,0,0.429
2-0より,.000,2,2,0,0,0,0,0,0,0,0,0,0.0
3-0より,-,1,0,0,0,0,0,0,1,0,0,0,1.0
0-1より,.222,10,9,2,0,0,1,0,0,1,0,0,0.3
1-1より,.308,14,13,4,0,0,0,0,0,1,0,0,0.357
2-1より,.000,8,8,0,0,0,0,0,0,0,0,0,0.0
3-1より,1.000,3,1,1,0,0,0,0,2,0,0,0,1.0
0-2より,.143,7,7,1,0,0,0,3,0,0,0,0,0.143
1-2より,.125,24,24,3,0,0,0,9,0,0,0,0,0.125
2-2より,.200,20,20,4,0,1,0,10,0,0,0,0,0.2
3-2より,.222,14,9,2,0,0,0,1,5,0,0,0,0.5
