球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
エスコンＦ,1.00,22,0,22,2,1,9,1,11,3,2,1,18.0,10,1,17,3,2,2,2,0.72,0.164,-,9.00
みずほPayPay,6.75,2,0,2,0,0,1,0,1,0,0,0,1.1,2,0,0,1,0,1,1,2.25,0.333,-,1.33
ZOZOマリン,21.60,3,0,3,1,0,1,0,2,1,1,0,1.2,4,0,1,1,0,4,4,3.0,0.5,-,0.42
楽天モバイル,0.00,3,0,3,0,0,1,0,1,0,0,0,3.0,2,0,0,1,0,0,0,1.0,0.2,-,99.00
京セラD大阪,0.00,4,0,4,0,0,1,0,1,0,0,0,3.1,2,0,2,0,0,0,0,0.6,0.167,-,99.00
ベルーナドーム,3.00,4,0,4,0,1,2,0,2,0,0,1,3.0,2,0,3,2,0,1,1,1.33,0.182,-,3.00
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
横浜,0.00,1,0,1,0,0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0.0,0.0,-,99.00
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,0.00,1,0,1,0,0,1,0,1,0,0,0,0.2,1,0,0,0,0,0,0,1.5,0.333,-,99.00
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
