条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,0.4,50,45,18,4,0,1,0,0,1,4,0,0.413
1-0より,0.308,29,26,8,1,0,0,0,0,0,2,1,0.296
2-0より,0.167,6,6,1,0,0,0,0,0,0,0,0,0.167
3-0より,0.0,3,1,0,0,0,0,0,2,0,0,0,0.667
0-1より,0.321,53,53,17,0,0,1,0,0,0,0,0,0.321
1-1より,0.364,35,33,12,1,0,1,0,0,1,0,1,0.371
2-1より,0.4,15,15,6,1,0,0,0,0,0,0,0,0.4
3-1より,0.0,7,2,0,0,0,0,0,5,0,0,0,0.714
0-2より,0.095,21,21,2,0,0,0,8,0,0,0,0,0.095
1-2より,0.241,58,58,14,3,0,1,15,0,0,0,0,0.241
2-2より,0.154,65,65,10,0,1,2,26,0,0,0,0,0.154
3-2より,0.162,44,37,6,1,1,2,13,6,0,0,1,0.273
