球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
エスコンＦ,4.76,18,0,18,1,0,5,0,6,1,1,0,11.1,12,1,5,4,0,8,6,1.41,0.267,-,1.42
みずほPayPay,0.00,1,0,1,0,0,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0.0,0.0,-,99.00
ZOZOマリン,0.00,2,0,2,0,0,2,0,2,0,0,0,1.0,2,0,2,1,0,0,0,3.0,0.4,-,99.00
楽天モバイル,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,1,0,0,1,0,0,0,2.0,0.25,-,99.00
京セラD大阪,0.00,3,0,3,0,0,2,0,2,0,0,0,2.0,1,0,4,0,0,0,0,0.5,0.143,-,99.00
ベルーナドーム,0.00,3,0,3,0,0,0,0,0,0,0,0,2.1,2,0,0,1,0,0,0,1.29,0.222,-,99.00
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
東京ドーム,0.00,1,0,1,0,0,1,0,1,0,0,0,1.0,1,0,2,0,0,0,0,1.0,0.25,-,99.00
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
横浜,27.00,1,0,1,0,1,0,0,0,0,0,1,0.1,3,0,1,1,0,1,1,12.0,0.75,-,0.33
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,0.00,1,0,1,0,0,1,0,1,0,0,0,0.1,1,0,0,0,0,0,0,3.0,0.5,-,99.00
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
