球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,53,47.7%,147.6,4,8,16,14,52.8%,12.9%,.067,15,1,0,6,2,0
カットボール,15,13.5%,137.2,2,2,4,3,53.3%,20.0%,.000,3,0,0,0,0,0
スライダー,14,12.6%,136.3,1,5,1,7,50.0%,50.0%,-,0,0,0,0,0,0
ツーシーム,8,7.2%,145.3,2,1,0,3,37.5%,50.0%,.000,2,0,0,0,0,0
カーブ,6,5.4%,114.6,0,2,0,2,33.3%,0.0%,.500,2,1,0,0,0,0
フォーク,6,5.4%,136.2,1,0,0,4,16.7%,50.0%,.000,2,0,0,1,0,0
チェンジアップ,4,3.6%,134.0,1,1,1,0,75.0%,33.3%,.000,2,0,0,1,0,0
スプリット,3,2.7%,139.3,1,0,1,1,66.7%,50.0%,-,0,0,0,0,0,0
縦スライダー,1,0.9%,130.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
シンカー,1,0.9%,142.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
