条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.357,14,14,5,2,0,0,0,0,0,0,0,0.357
1-0より,.400,5,5,2,1,0,0,0,0,0,0,0,0.4
2-0より,.000,1,1,0,0,0,0,0,0,0,0,0,0.0
3-0より,-,2,0,0,0,0,0,0,2,0,0,0,1.0
0-1より,.500,3,2,1,0,0,0,0,0,1,0,0,0.667
1-1より,.000,4,4,0,0,0,0,0,0,0,0,0,0.0
2-1より,.286,7,7,2,0,0,0,0,0,0,0,0,0.286
3-1より,.000,4,1,0,0,0,0,0,3,0,0,0,0.75
0-2より,.167,6,6,1,0,0,0,1,0,0,0,0,0.167
1-2より,.000,12,12,0,0,0,0,3,0,0,0,0,0.0
2-2より,.077,13,13,1,0,0,0,1,0,0,0,0,0.077
3-2より,.000,10,7,0,0,0,0,4,2,1,0,0,0.3
