球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,487,39.7%,147.2,38,92,90,174,45.2%,17.2%,.353,119,42,9,27,10,2
スライダー,198,16.1%,130.4,31,31,40,65,51.5%,30.4%,.133,45,6,1,15,1,0
フォーク,141,11.5%,135.3,34,13,24,54,50.4%,45.9%,.152,33,5,0,17,1,0
カットボール,98,8.0%,137.6,12,14,14,37,40.8%,25.5%,.435,23,10,1,2,2,0
カーブ,65,5.3%,116.0,9,12,6,27,41.5%,34.6%,.385,13,5,0,2,1,1
チェンジアップ,65,5.3%,130.7,12,6,8,24,40.0%,34.3%,.263,19,5,1,5,2,0
ツーシーム,58,4.7%,140.9,3,8,14,18,43.1%,9.4%,.235,17,4,0,2,0,0
スプリット,48,3.9%,138.5,11,5,7,18,47.9%,44.0%,.000,11,0,0,5,0,0
シンカー,17,1.4%,134.4,4,2,4,2,58.8%,30.8%,.600,5,3,0,0,0,0
縦スライダー,15,1.2%,131.7,2,3,5,2,66.7%,20.0%,.000,4,0,0,1,0,0
シュート,15,1.2%,142.0,4,1,2,5,46.7%,44.4%,.250,4,1,0,1,0,0
パワーカーブ,11,0.9%,122.1,0,2,0,8,18.2%,0.0%,1.000,1,1,0,0,0,0
ナックルカーブ,5,0.4%,124.8,0,0,0,4,0.0%,0.0%,.000,1,0,0,0,0,0
パーム,4,0.3%,115.0,1,1,1,1,75.0%,50.0%,-,0,0,0,0,0,0
高速スライダー,1,0.1%,143.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
