守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
二塁手,.186,13,44,43,2,8,1,0,1,12,2,17,0,0,1,0,0,1,0,0,.205,.279,0.484
三塁手,.333,1,3,3,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,.333,.667,1.0
遊撃手,.360,9,29,25,2,9,0,0,0,9,0,6,2,0,1,1,0,0,1,0,.429,.360,0.789
左翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
中堅手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
右翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
指名打者,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
途中出場,.100,63,27,20,7,2,0,0,0,2,1,9,5,0,0,2,0,2,0,0,.280,.100,0.38
