球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,512,46.4%,147.8,46,80,124,168,48.8%,17.4%,.288,104,30,4,15,12,1
スライダー,116,10.5%,131.4,15,16,26,35,49.1%,23.1%,.258,31,8,1,8,1,0
チェンジアップ,105,9.5%,131.6,11,18,20,35,46.7%,21.2%,.136,22,3,0,2,0,0
カットボール,86,7.8%,138.4,9,14,23,20,53.5%,17.3%,.208,24,5,0,4,0,0
カーブ,69,6.3%,117.7,8,18,9,26,50.7%,32.0%,.167,12,2,0,4,1,0
フォーク,66,6.0%,136.0,9,4,9,29,33.3%,27.3%,.263,19,5,0,7,1,0
スプリット,59,5.3%,137.9,9,5,14,20,47.5%,26.5%,.308,13,4,0,2,0,0
ツーシーム,27,2.4%,143.8,1,2,3,13,22.2%,8.3%,.500,8,4,0,0,2,0
シンカー,24,2.2%,133.9,1,2,6,10,37.5%,8.3%,.000,5,0,0,0,0,0
縦スライダー,16,1.4%,130.2,2,4,3,4,56.3%,25.0%,.250,4,1,0,1,0,0
シュート,10,0.9%,139.8,0,4,0,5,40.0%,0.0%,.000,1,0,0,0,1,0
ナックルカーブ,7,0.6%,118.0,0,1,0,5,14.3%,0.0%,.000,1,0,0,0,0,0
パワーカーブ,6,0.5%,123.2,0,2,1,3,50.0%,0.0%,-,0,0,0,0,0,0
パーム,1,0.1%,128.0,1,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
