条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,0.442,56,52,23,7,0,7,0,4,0,0,0,0.482
1-0より,0.311,47,45,14,2,0,2,0,1,0,1,0,0.326
2-0より,0.5,10,10,5,1,0,1,0,0,0,0,0,0.5
3-0より,0.333,10,3,1,1,0,0,0,7,0,0,0,0.8
0-1より,0.231,26,26,6,2,0,0,0,0,0,0,0,0.231
1-1より,0.29,31,31,9,4,0,1,0,0,0,0,0,0.29
2-1より,0.556,19,18,10,2,1,2,0,1,0,0,0,0.579
3-1より,0.308,18,13,4,2,0,0,0,5,0,0,0,0.5
0-2より,0.043,23,23,1,1,0,0,18,0,0,0,0,0.043
1-2より,0.077,65,65,5,0,0,1,41,0,0,0,0,0.077
2-2より,0.09,79,78,7,1,0,0,43,0,1,0,0,0.101
3-2より,0.196,81,56,11,0,0,6,23,25,0,0,0,0.444
