球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
エスコンＦ,1.83,19,0,19,2,1,0,0,2,2,2,1,19.2,12,0,26,8,0,4,4,1.02,0.176,-,4.92
みずほPayPay,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0.0,0.0,-,99.00
ZOZOマリン,9.00,2,0,2,0,1,0,1,0,1,0,1,1.0,2,0,0,1,0,1,1,3.0,0.5,-,1.00
楽天モバイル,81.00,1,0,1,0,0,0,0,0,0,0,0,0.1,4,0,0,0,0,3,3,12.0,0.8,-,0.11
京セラD大阪,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0.0,0.0,-,99.00
ベルーナドーム,10.80,2,0,2,0,0,0,0,0,0,0,0,1.2,4,0,1,1,0,3,2,3.0,0.444,-,0.56
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,1,0,1,0,0,0,0,1.0,0.25,-,99.00
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
