球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
エスコンＦ,1.37,20,0,20,2,0,3,4,5,6,2,0,19.2,12,2,23,7,1,5,3,0.97,.171,-,3.93
みずほPayPay,5.40,2,0,2,0,1,0,0,0,0,0,1,1.2,2,0,2,0,1,1,1,1.2,.333,-,1.67
ZOZOマリン,0.00,3,0,3,0,0,1,0,1,0,0,0,3.0,1,0,6,3,0,0,0,1.33,.091,-,99.00
楽天モバイル,0.00,8,0,8,0,0,2,4,2,4,0,0,7.2,2,0,7,1,0,0,0,0.39,.087,-,99.00
京セラD大阪,0.00,1,0,1,0,0,1,0,1,0,0,0,0.1,0,0,0,2,0,0,0,6.0,-,-,99.00
ベルーナドーム,0.00,1,0,1,0,0,0,1,0,1,0,0,1.0,0,0,1,0,0,0,0,0.0,.000,-,99.00
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,.000,-,-
東京ドーム,0.00,1,0,1,0,0,0,1,0,1,0,0,1.0,2,0,3,0,0,0,0,2.0,.400,-,99.00
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,.000,-,-
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,.000,-,-
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,.000,-,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,.000,-,-
バンテリンドーム,0.00,1,0,1,0,0,0,1,0,1,0,0,1.0,1,0,1,2,0,0,0,3.0,.250,-,99.00
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,.000,-,-
