球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
楽天モバイル,4.44,9,9,0,3,3,0,0,0,0,0,0,48.2,61,2,26,7,2,24,24,1.4,0.302,4.50,-
みずほPayPay,4.76,1,1,0,0,0,0,0,0,0,0,0,5.2,5,1,8,2,0,3,3,1.24,0.227,0.00,-
エスコンＦ,6.00,1,1,0,0,1,0,0,0,0,0,0,6.0,7,2,3,1,0,4,4,1.33,0.28,0.00,-
ZOZOマリン,6.08,4,4,0,1,1,0,0,0,0,0,0,23.2,30,2,10,8,2,16,16,1.61,0.313,3.00,-
京セラD大阪,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ベルーナドーム,4.50,2,2,0,0,1,0,0,0,0,0,0,12.0,15,3,5,3,0,6,6,1.5,0.313,2.77,-
Pa その他,0.00,1,1,0,1,0,0,0,0,0,0,0,6.0,3,0,2,0,0,1,0,0.5,0.136,15.00,-
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,0.00,1,1,0,1,0,0,0,0,0,0,0,7.0,4,0,1,1,0,0,0,0.71,0.19,3.38,-
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
