条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,0.364,33,33,12,0,1,1,0,0,0,0,0,0.364
1-0より,0.211,20,19,4,1,0,1,0,0,1,0,0,0.25
2-0より,0.25,5,4,1,0,0,0,0,1,0,0,0,0.4
3-0より,1.0,1,1,1,0,0,1,0,0,0,0,0,1.0
0-1より,0.35,20,20,7,0,0,0,0,0,0,0,0,0.35
1-1より,0.211,19,19,4,1,0,0,0,0,0,0,0,0.211
2-1より,0.375,8,8,3,0,0,0,0,0,0,0,0,0.375
3-1より,0.5,4,4,2,0,0,0,0,0,0,0,0,0.5
0-2より,0.1,20,20,2,0,0,0,9,0,0,0,0,0.1
1-2より,0.158,39,38,6,2,0,1,16,0,0,0,1,0.154
2-2より,0.091,22,22,2,0,0,0,7,0,0,0,0,0.091
3-2より,0.154,17,13,2,1,0,0,5,3,1,0,0,0.353
