球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
楽天モバイル,3.38,6,6,0,0,5,0,0,0,0,0,0,34.2,34,5,36,11,0,14,13,1.3,0.252,0.55,-
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
エスコンＦ,18.00,1,1,0,0,1,0,0,0,0,0,0,3.0,6,1,2,1,0,6,6,2.33,0.4,2.25,-
ZOZOマリン,1.29,1,1,0,1,0,0,0,0,0,0,0,7.0,2,1,4,2,1,1,1,0.57,0.091,2.25,-
京セラD大阪,7.84,2,2,0,0,1,0,0,0,0,0,0,10.1,13,2,7,4,0,10,9,1.65,0.302,0.00,-
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
東京ドーム,6.00,1,1,0,0,1,0,0,0,0,0,0,6.0,6,1,5,1,0,4,4,1.17,0.273,0.00,-
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
マツダスタジアム,0.00,1,1,0,1,0,0,0,0,0,0,0,7.1,6,0,8,1,0,0,0,0.95,0.222,3.38,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
