条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,0.3,63,60,18,4,0,1,0,0,1,2,0,0.311
1-0より,0.189,40,37,7,1,0,0,0,0,0,3,0,0.189
2-0より,0.5,9,8,4,0,0,1,0,0,1,0,0,0.556
3-0より,0.5,10,2,1,0,0,0,0,8,0,0,0,0.9
0-1より,0.432,41,37,16,2,1,1,0,0,2,2,0,0.462
1-1より,0.345,59,58,20,3,0,1,0,0,0,1,0,0.345
2-1より,0.462,27,26,12,2,0,1,0,0,0,0,1,0.444
3-1より,0.182,25,11,2,0,0,1,0,14,0,0,0,0.64
0-2より,0.158,20,19,3,0,0,0,8,0,0,0,1,0.15
1-2より,0.255,53,51,13,1,0,0,15,0,2,0,0,0.283
2-2より,0.197,71,71,14,3,0,0,22,0,0,0,0,0.197
3-2より,0.256,65,43,11,0,1,3,13,21,0,0,1,0.492
