守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
一塁手,.375,3,11,8,0,3,0,0,0,3,0,3,3,0,0,0,0,0,0,1,.545,.375,0.92
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,.230,20,72,61,9,14,4,0,3,27,4,15,10,0,0,1,0,1,1,0,.338,.443,0.781
中堅手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
右翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
指名打者,.143,7,31,21,1,3,0,1,0,5,4,7,9,0,0,0,1,0,0,0,.387,.238,0.625
途中出場,.200,13,15,15,1,3,1,0,0,4,0,6,0,0,0,0,0,0,0,0,.200,.267,0.467
