球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,406,52.9%,146.9,20,85,94,138,49.0%,10.9%,.169,77,13,0,14,14,0
スライダー,75,9.8%,129.1,8,16,10,33,45.3%,30.8%,.250,12,3,1,5,0,0
カットボール,65,8.5%,136.8,10,10,7,26,41.5%,34.5%,.529,17,9,2,5,1,0
フォーク,54,7.0%,136.4,9,6,8,19,42.6%,31.0%,.300,20,6,0,8,0,0
ツーシーム,49,6.4%,143.2,0,11,12,14,46.9%,0.0%,.364,11,4,0,0,1,0
カーブ,38,4.9%,116.6,1,14,4,13,50.0%,9.1%,.429,7,3,0,1,0,0
スプリット,23,3.0%,140.5,4,2,3,10,39.1%,36.4%,.167,6,1,0,2,0,0
チェンジアップ,19,2.5%,131.6,3,1,4,4,42.1%,21.4%,.429,7,3,0,0,0,0
シュート,13,1.7%,138.6,2,2,3,2,53.8%,22.2%,.200,5,1,0,1,0,0
シンカー,9,1.2%,130.3,1,1,0,5,22.2%,33.3%,.000,2,0,0,1,0,0
縦スライダー,6,0.8%,133.5,1,2,1,1,66.7%,33.3%,.000,2,0,0,1,0,0
ナックルカーブ,5,0.7%,127.4,0,1,0,4,20.0%,-%,-,0,0,0,0,0,0
スローカーブ,3,0.4%,93.0,0,0,0,2,0.0%,0.0%,.000,1,0,0,0,0,0
パワーカーブ,3,0.4%,123.5,0,2,0,1,66.7%,-%,.000,1,0,0,1,0,0
