球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,74,43.8%,147.1,9,12,17,23,51.4%,23.1%,.000,15,0,0,5,1,0
スライダー,20,11.8%,129.8,1,6,1,10,40.0%,25.0%,.667,3,2,0,1,1,0
カットボール,20,11.8%,137.6,3,4,4,9,55.0%,42.9%,.000,1,0,0,1,0,0
ツーシーム,13,7.7%,150.3,1,2,3,6,46.2%,20.0%,.000,2,0,0,1,1,0
フォーク,11,6.5%,132.0,3,2,0,4,45.5%,60.0%,.000,4,0,0,2,0,0
カーブ,10,5.9%,120.0,1,4,0,5,50.0%,100.0%,.000,1,0,0,1,0,0
スプリット,7,4.1%,136.7,2,0,0,3,28.6%,50.0%,.000,2,0,0,0,0,0
チェンジアップ,7,4.1%,128.7,1,1,0,4,28.6%,50.0%,.000,1,0,0,0,0,0
シュート,4,2.4%,144.7,0,0,0,2,0.0%,0.0%,.500,2,1,0,0,0,0
縦スライダー,2,1.2%,130.5,1,1,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
ナックルカーブ,1,0.6%,125.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
