球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
楽天モバイル,.231,51,176,156,12,36,4,1,2,48,10,37,14,0,2,1,3,8,0,0,.297,.308,0.605
みずほPayPay,.194,12,44,36,3,7,0,0,1,10,4,13,4,0,3,0,1,3,0,1,.318,.278,0.596
エスコンＦ,.250,9,36,32,2,8,2,0,0,10,0,9,2,0,2,0,0,0,0,0,.333,.313,0.646
ZOZOマリン,.226,9,36,31,4,7,0,0,0,7,4,6,4,0,0,0,1,2,0,0,.306,.226,0.531
京セラD大阪,.257,10,41,35,5,9,2,1,1,16,10,9,5,0,1,0,0,1,0,0,.366,.457,0.823
ベルーナドーム,.308,8,31,26,5,8,2,0,2,16,2,5,5,0,0,0,0,2,0,0,.419,.615,1.035
Pa その他,.313,5,19,16,3,5,1,0,0,6,0,4,3,0,0,0,0,3,0,0,.421,.375,0.796
東京ドーム,.167,5,19,18,2,3,0,0,1,6,1,3,1,0,0,0,0,0,0,0,.211,.333,0.544
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,.333,3,11,9,0,3,0,0,0,3,1,2,2,0,0,0,0,1,0,0,.455,.333,0.788
神宮,.250,2,9,8,0,2,1,0,0,3,0,3,0,0,1,0,0,0,0,0,.333,.375,0.708
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
