球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
楽天モバイル,.293,38,157,140,15,41,2,1,1,48,12,25,16,1,1,0,0,1,0,2,.369,.343,0.712
みずほPayPay,.238,6,23,21,0,5,0,0,0,5,1,5,2,0,0,0,0,0,1,0,.304,.238,0.542
エスコンＦ,.476,7,29,21,4,10,1,0,1,14,5,6,6,1,0,1,1,0,0,0,.571,.667,1.238
ZOZOマリン,.320,7,32,25,3,8,1,0,1,12,6,3,6,0,0,0,1,0,0,0,.438,.480,0.918
京セラD大阪,.263,10,40,38,3,10,0,0,0,10,1,6,1,0,0,0,1,0,0,1,.275,.263,0.538
ベルーナドーム,.304,6,27,23,2,7,1,0,1,11,5,4,3,0,0,1,0,0,0,1,.385,.478,0.863
Pa その他,.143,2,8,7,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,.250,.286,0.536
東京ドーム,.250,1,4,4,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,.250,.250,0.5
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
マツダスタジアム,.385,3,13,13,4,5,2,0,0,7,1,2,0,0,0,0,0,0,0,0,.385,.538,0.923
神宮,.222,3,10,9,0,2,0,0,0,2,2,2,0,0,1,0,0,0,0,0,.300,.222,0.522
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
