条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.167,14,12,2,1,0,0,0,1,0,1,0,.231
1-0より,.286,7,7,2,0,0,0,0,0,0,0,0,.286
2-0より,-,0,0,0,0,0,0,0,0,0,0,0,-
3-0より,-,3,0,0,0,0,0,0,3,0,0,0,1.000
0-1より,.375,10,8,3,1,0,0,0,0,1,1,0,.444
1-1より,.286,14,14,4,3,0,0,0,0,0,0,0,.286
2-1より,.000,4,4,0,0,0,0,0,0,0,0,0,.000
3-1より,-,3,0,0,0,0,0,0,3,0,0,0,1.000
0-2より,.190,21,21,4,2,0,0,13,0,0,0,0,.190
1-2より,.115,27,26,3,1,0,0,11,0,0,0,1,.111
2-2より,.316,19,19,6,0,1,1,8,0,0,0,0,.316
3-2より,.167,8,6,1,0,0,0,2,2,0,0,0,.375
