条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.444,21,18,8,1,0,0,0,1,0,1,1,0.45
1-0より,.625,9,8,5,1,0,0,0,0,0,0,1,0.556
2-0より,.200,6,5,1,0,0,0,0,0,0,0,1,0.167
3-0より,-,5,0,0,0,0,0,0,5,0,0,0,1.0
0-1より,.286,7,7,2,0,0,0,0,0,0,0,0,0.286
1-1より,.308,15,13,4,2,0,0,0,0,0,2,0,0.308
2-1より,.250,5,4,1,0,0,0,0,0,1,0,0,0.4
3-1より,.400,9,5,2,0,0,1,0,4,0,0,0,0.667
0-2より,.000,3,3,0,0,0,0,0,0,0,0,0,0.0
1-2より,.118,17,17,2,0,0,0,9,0,0,0,0,0.118
2-2より,.238,21,21,5,0,0,0,6,0,0,0,0,0.238
3-2より,.294,29,17,5,1,0,0,3,11,0,0,1,0.552
