条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.250,14,12,3,1,0,0,0,0,0,2,0,0.25
1-0より,.000,5,4,0,0,0,0,0,0,0,1,0,0.0
2-0より,.200,5,5,1,0,0,0,0,0,0,0,0,0.2
3-0より,-,2,0,0,0,0,0,0,2,0,0,0,1.0
0-1より,.273,12,11,3,0,0,0,0,0,1,0,0,0.333
1-1より,.636,11,11,7,0,0,0,0,0,0,0,0,0.636
2-1より,.000,7,7,0,0,0,0,0,0,0,0,0,0.0
3-1より,.500,4,2,1,0,0,0,0,2,0,0,0,0.75
0-2より,.000,7,7,0,0,0,0,4,0,0,0,0,0.0
1-2より,.188,16,16,3,1,0,0,5,0,0,0,0,0.188
2-2より,.200,11,10,2,0,0,0,2,0,1,0,0,0.273
3-2より,.000,2,2,0,0,0,0,2,0,0,0,0,0.0
