球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
ベルーナドーム,.240,26,29,25,10,6,1,0,0,7,0,3,2,0,1,1,0,1,1,1,.321,.280,0.601
みずほPayPay,.000,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
エスコンＦ,.182,8,11,11,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.182,.182,0.364
ZOZOマリン,.273,6,13,11,1,3,0,0,0,3,0,2,1,0,0,1,0,0,1,1,.333,.273,0.606
楽天モバイル,.200,2,5,5,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,.200,.200,0.4
京セラD大阪,.286,2,7,7,1,2,1,0,0,3,2,1,0,0,0,0,0,0,0,0,.286,.429,0.714
Pa その他,.000,3,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.000,.000,0.0
東京ドーム,.154,4,14,13,1,2,0,0,0,2,0,3,1,0,0,0,0,0,0,0,.214,.154,0.368
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,.571,3,9,7,0,4,0,0,0,4,0,0,0,0,1,1,0,0,0,0,.625,.571,1.196
マツダスタジアム,.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.000,.000,0.0
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
