条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,0.291,84,79,23,3,0,2,0,0,0,5,0,0.291
1-0より,0.341,41,41,14,3,0,2,0,0,0,0,0,0.341
2-0より,0.364,11,11,4,1,0,1,0,0,0,0,0,0.364
3-0より,0.0,7,1,0,0,0,0,0,6,0,0,0,0.857
0-1より,0.3,60,60,18,4,0,0,0,0,0,0,0,0.3
1-1より,0.339,56,56,19,2,1,2,0,0,0,0,0,0.339
2-1より,0.344,32,32,11,4,0,1,0,0,0,0,0,0.344
3-1より,0.2,20,5,1,1,0,0,0,15,0,0,0,0.8
0-2より,0.065,46,46,3,0,0,0,23,0,0,0,0,0.065
1-2より,0.177,82,79,14,1,1,0,26,0,2,0,1,0.195
2-2より,0.197,76,76,15,4,0,1,21,0,0,0,0,0.197
3-2より,0.167,50,30,5,1,0,0,11,17,2,0,1,0.48
