球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
ベルーナドーム,2.09,12,12,0,6,4,0,0,0,0,0,0,86.0,77,4,87,13,0,21,20,1.05,0.238,3.80,-
みずほPayPay,3.29,2,2,0,1,1,0,0,0,0,0,0,13.2,12,1,13,3,1,5,5,1.1,0.235,4.20,-
エスコンＦ,2.63,3,3,0,1,2,0,0,0,0,0,0,24.0,17,3,13,7,0,7,7,1.0,0.202,2.33,-
ZOZOマリン,0.75,2,2,0,1,1,0,0,0,0,0,0,12.0,11,0,13,4,0,1,1,1.25,0.239,3.21,-
楽天モバイル,3.00,1,1,0,1,0,0,0,0,0,0,0,6.0,5,1,6,2,0,2,2,1.17,0.217,7.71,-
京セラD大阪,9.00,1,1,0,0,0,0,0,0,0,0,0,6.0,9,2,5,1,0,6,6,1.67,0.333,7.71,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
東京ドーム,2.57,1,1,0,0,1,0,0,0,0,0,0,7.0,4,1,6,3,0,2,2,1.0,0.167,1.29,-
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
横浜,5.40,1,1,0,0,1,0,0,0,0,0,0,5.0,7,0,6,1,1,3,3,1.6,0.318,3.00,-
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
