条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.400,14,10,4,1,0,0,0,1,0,3,0,.455
1-0より,.100,10,10,1,0,0,1,0,0,0,0,0,.100
2-0より,1.000,1,1,1,0,0,0,0,0,0,0,0,1.000
3-0より,-,2,0,0,0,0,0,0,2,0,0,0,1.000
0-1より,.273,12,11,3,1,0,1,0,0,1,0,0,.333
1-1より,.545,11,11,6,1,0,0,0,0,0,0,0,.545
2-1より,.429,7,7,3,0,0,0,0,0,0,0,0,.429
3-1より,-,0,0,0,0,0,0,0,0,0,0,0,-
0-2より,.167,12,12,2,0,0,1,5,0,0,0,0,.167
1-2より,.133,16,15,2,0,0,0,8,0,0,0,1,.125
2-2より,.174,23,23,4,1,0,1,7,0,0,0,0,.174
3-2より,.000,8,3,0,0,0,0,0,4,1,0,0,.625
