球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,112,36.0%,147.3,13,17,29,18,52.7%,16.9%,.263,38,10,0,9,1,0
フォーク,39,12.5%,135.7,6,5,6,10,43.6%,25.0%,.000,12,0,0,1,0,0
カーブ,38,12.2%,115.6,3,15,5,13,60.5%,30.0%,.000,3,0,0,1,0,0
チェンジアップ,33,10.6%,132.4,7,2,5,10,42.4%,33.3%,.083,12,1,0,3,0,0
スライダー,28,9.0%,127.3,2,8,7,6,60.7%,14.3%,.000,5,0,0,0,0,0
カットボール,23,7.4%,135.4,3,2,6,7,47.8%,21.4%,.400,5,2,0,0,0,0
スプリット,18,5.8%,136.5,1,2,3,5,33.3%,9.1%,.000,7,0,0,0,0,0
ナックルカーブ,8,2.6%,125.3,1,2,2,3,62.5%,33.3%,.000,1,0,0,1,0,0
シンカー,7,2.3%,136.0,1,2,1,2,57.1%,33.3%,.000,1,0,0,0,0,0
ツーシーム,4,1.3%,139.5,0,0,1,2,25.0%,0.0%,.000,1,0,0,0,0,0
パーム,1,0.3%,126.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
