条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.235,34,34,8,1,0,1,0,0,0,0,0,0.235
1-0より,.200,11,10,2,0,0,0,0,0,0,0,1,0.182
2-0より,.429,7,7,3,0,0,1,0,0,0,0,0,0.429
3-0より,-,3,0,0,0,0,0,0,3,0,0,0,1.0
0-1より,.111,18,18,2,0,0,0,0,0,0,0,0,0.111
1-1より,.333,34,33,11,3,1,3,0,0,1,0,0,0.353
2-1より,.600,10,10,6,1,0,0,0,0,0,0,0,0.6
3-1より,.000,6,2,0,0,0,0,0,4,0,0,0,0.667
0-2より,.050,20,20,1,0,0,0,12,0,0,0,0,0.05
1-2より,.069,30,29,2,0,0,0,19,0,1,0,0,0.1
2-2より,.286,35,35,10,0,0,1,9,0,0,0,0,0.286
3-2より,.231,35,26,6,1,0,1,10,8,0,0,1,0.4
