条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.227,74,66,15,2,0,1,0,0,3,5,0,0.261
1-0より,.414,31,29,12,3,2,0,0,0,0,1,1,0.4
2-0より,.300,11,10,3,1,0,1,0,0,0,1,0,0.3
3-0より,-,5,0,0,0,0,0,0,5,0,0,0,1.0
0-1より,.149,47,47,7,2,0,0,0,0,0,0,0,0.149
1-1より,.184,52,49,9,1,0,1,0,0,2,0,1,0.212
2-1より,.150,21,20,3,0,0,1,0,1,0,0,0,0.19
3-1より,.571,21,7,4,0,0,0,0,14,0,0,0,0.857
0-2より,.134,69,67,9,0,1,0,37,0,1,1,0,0.147
1-2より,.113,109,106,12,3,0,1,49,0,3,0,0,0.138
2-2より,.139,108,108,15,2,0,0,65,0,0,0,0,0.139
3-2より,.182,93,66,12,3,0,1,27,25,1,0,1,0.409
