球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
ベルーナドーム,1.81,9,9,0,2,2,0,0,0,0,0,0,59.2,30,5,58,18,5,12,12,0.8,0.149,1.98,-
みずほPayPay,2.25,2,2,0,1,0,0,0,0,0,0,0,12.0,12,0,16,3,1,3,3,1.25,0.25,5.79,-
エスコンＦ,0.00,3,3,0,2,0,0,0,0,0,0,0,22.0,8,0,25,10,2,0,0,0.82,0.113,1.80,-
ZOZOマリン,0.53,2,2,0,2,0,0,0,0,0,0,0,17.0,9,0,19,3,0,1,1,0.71,0.158,4.00,-
楽天モバイル,2.45,2,2,0,1,0,0,0,0,0,0,0,11.0,8,0,13,2,0,4,3,0.91,0.195,3.75,-
京セラD大阪,4.26,3,3,0,1,2,0,0,0,0,0,0,19.0,19,0,14,5,1,11,9,1.26,0.257,3.27,-
Pa その他,2.57,1,1,0,0,0,0,0,0,0,0,0,7.0,5,0,7,4,0,2,2,1.29,0.2,2.25,-
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
横浜,0.00,1,1,0,1,0,0,0,0,0,0,0,9.0,2,0,17,0,0,0,0,0.22,0.071,3.00,-
マツダスタジアム,6.43,1,1,0,0,1,0,0,0,0,0,0,7.0,8,1,9,0,1,5,5,1.14,0.276,0.00,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
