条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.293,64,58,17,3,1,3,0,1,3,1,1,0.333
1-0より,.297,38,37,11,3,0,1,0,0,1,0,0,0.316
2-0より,.375,8,8,3,1,0,1,0,0,0,0,0,0.375
3-0より,-,6,0,0,0,0,0,0,6,0,0,0,1.0
0-1より,.380,74,71,27,3,1,3,0,0,2,0,1,0.392
1-1より,.310,60,58,18,2,0,0,0,0,0,1,1,0.305
2-1より,.333,27,27,9,2,0,1,0,0,0,0,0,0.333
3-1より,.167,20,6,1,1,0,0,0,14,0,0,0,0.75
0-2より,.105,40,38,4,0,0,0,17,0,2,0,0,0.15
1-2より,.268,97,97,26,6,0,1,33,0,0,0,0,0.268
2-2より,.183,72,71,13,3,0,0,20,0,1,0,0,0.194
3-2より,.139,47,36,5,2,1,0,10,11,0,0,0,0.34
