条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.278,21,18,5,0,0,0,0,1,0,1,1,0.3
1-0より,.286,7,7,2,1,0,0,0,0,0,0,0,0.286
2-0より,.200,5,5,1,0,0,1,0,0,0,0,0,0.2
3-0より,-,3,0,0,0,0,0,0,3,0,0,0,1.0
0-1より,.167,7,6,1,0,0,0,0,0,0,0,1,0.143
1-1より,.000,8,7,0,0,0,0,0,0,0,1,0,0.0
2-1より,.400,5,5,2,0,0,0,0,0,0,0,0,0.4
3-1より,.000,3,1,0,0,0,0,0,2,0,0,0,0.667
0-2より,.182,11,11,2,1,0,0,5,0,0,0,0,0.182
1-2より,.263,20,19,5,1,0,0,9,0,0,0,1,0.25
2-2より,.300,20,20,6,1,0,0,8,0,0,0,0,0.3
3-2より,.000,13,6,0,0,0,0,3,7,0,0,0,0.538
