球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
ベルーナドーム,1.73,26,0,26,3,0,2,16,5,19,3,0,26.0,21,0,29,9,1,6,5,1.15,0.221,-,4.33
みずほPayPay,3.00,3,0,3,0,0,0,2,0,2,0,0,3.0,3,0,4,1,1,1,1,1.33,0.273,-,3.00
エスコンＦ,1.80,5,0,5,0,0,2,3,2,3,0,0,5.0,2,0,3,2,0,1,1,0.8,0.118,-,5.00
ZOZOマリン,0.00,3,0,3,0,1,0,1,0,1,0,1,2.1,2,0,3,1,0,1,0,1.29,0.2,-,2.33
楽天モバイル,8.10,4,0,4,0,1,1,1,1,1,0,1,3.1,6,0,2,5,0,3,3,3.3,0.4,-,1.11
京セラD大阪,0.00,5,0,5,1,0,1,3,2,4,1,0,5.0,3,0,4,1,0,0,0,0.8,0.2,-,99.00
Pa その他,0.00,6,0,6,0,0,2,4,2,4,0,0,6.0,5,0,7,2,1,0,0,1.17,0.238,-,99.00
東京ドーム,0.00,1,0,1,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,1.0,0.333,-,99.00
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
横浜,0.00,1,0,1,0,0,0,1,0,1,0,0,1.0,0,0,1,0,0,0,0,0.0,0.0,-,99.00
マツダスタジアム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
