球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
ベルーナドーム,.260,58,218,181,21,47,3,0,0,50,8,28,18,0,2,17,0,9,3,1,.333,.276,0.61
みずほPayPay,.161,11,32,31,2,5,0,0,0,5,0,9,1,0,0,0,0,1,0,0,.188,.161,0.349
エスコンＦ,.138,12,31,29,1,4,0,0,0,4,3,4,0,0,0,2,0,4,0,0,.138,.138,0.276
ZOZOマリン,.214,10,30,28,0,6,0,0,0,6,0,3,2,0,0,0,0,3,1,2,.267,.214,0.481
楽天モバイル,.226,10,34,31,2,7,0,0,0,7,0,4,2,0,0,1,0,0,1,0,.273,.226,0.499
京セラD大阪,.275,11,43,40,5,11,0,0,0,11,0,10,3,0,0,0,0,1,1,1,.326,.275,0.601
Pa その他,.231,3,13,13,0,3,1,0,0,4,1,1,0,0,0,0,0,0,0,0,.231,.308,0.538
東京ドーム,.308,4,15,13,0,4,0,0,0,4,1,5,0,0,0,2,0,3,0,0,.308,.308,0.615
甲子園,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,.167,3,14,12,0,2,0,0,0,2,0,2,2,0,0,0,0,0,1,1,.286,.167,0.452
マツダスタジアム,.143,3,8,7,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,.143,.143,0.286
神宮,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
バンテリンドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
