条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.286,39,35,10,1,0,3,0,0,0,3,1,0.278
1-0より,.231,30,26,6,1,0,0,0,0,0,3,1,0.222
2-0より,.455,12,11,5,2,0,0,0,1,0,0,0,0.5
3-0より,-,5,0,0,0,0,0,0,5,0,0,0,1.0
0-1より,.209,45,43,9,1,0,0,0,0,0,2,0,0.209
1-1より,.432,45,44,19,3,0,2,0,0,0,1,0,0.432
2-1より,.125,25,24,3,1,0,0,0,0,1,0,0,0.16
3-1より,.091,20,11,1,0,0,0,0,9,0,0,0,0.5
0-2より,.057,35,35,2,0,0,0,10,0,0,0,0,0.057
1-2より,.197,67,66,13,1,1,0,19,0,0,0,1,0.194
2-2より,.194,76,72,14,4,2,1,22,0,2,0,2,0.211
3-2より,.242,51,33,8,2,0,0,5,18,0,0,0,0.51
