球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,745,42.0%,147.1,27,147,154,246,44.0%,7.7%,.210,181,38,3,20,17,1
スライダー,269,15.2%,130.4,20,78,35,106,49.4%,23.5%,.270,37,10,1,9,4,0
フォーク,176,9.9%,135.2,25,20,27,70,40.9%,29.1%,.227,44,10,0,11,2,0
カットボール,175,9.9%,137.4,18,42,26,60,49.1%,24.7%,.194,31,6,1,3,4,0
ツーシーム,115,6.5%,142.3,5,20,19,36,38.3%,8.5%,.243,37,9,1,2,0,1
チェンジアップ,108,6.1%,127.8,15,20,11,35,42.6%,28.3%,.303,33,10,0,6,1,0
カーブ,63,3.6%,117.8,3,11,7,32,33.3%,15.0%,.091,11,1,0,1,0,0
スプリット,46,2.6%,140.1,4,5,6,19,32.6%,18.2%,.231,13,3,0,1,1,0
ナックルカーブ,30,1.7%,129.3,3,6,2,17,36.7%,42.9%,.000,4,0,0,2,1,0
シュート,15,0.8%,142.5,0,3,5,5,53.3%,0.0%,.000,2,0,0,0,1,0
シンカー,10,0.6%,134.6,1,2,0,3,30.0%,20.0%,.500,4,2,0,0,0,1
パワーカーブ,8,0.5%,121.5,0,2,0,6,25.0%,-%,-,0,0,0,0,1,0
縦スライダー,5,0.3%,135.0,2,1,1,1,80.0%,66.7%,.000,1,0,0,1,0,0
スローカーブ,5,0.3%,94.2,0,4,0,1,80.0%,-%,-,0,0,0,0,0,0
ワンシーム,2,0.1%,141.0,0,0,1,0,50.0%,0.0%,1.000,1,1,0,0,0,0
高速スライダー,1,0.1%,-,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
