条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.261,27,23,6,3,0,1,0,0,0,3,1,0.25
1-0より,.250,17,16,4,0,0,0,0,0,0,0,1,0.235
2-0より,.667,4,3,2,1,0,1,0,0,0,1,0,0.667
3-0より,-,4,0,0,0,0,0,0,4,0,0,0,1.0
0-1より,.286,28,28,8,1,0,1,0,0,0,0,0,0.286
1-1より,.333,15,15,5,1,0,0,0,0,0,0,0,0.333
2-1より,.333,9,9,3,0,1,1,0,0,0,0,0,0.333
3-1より,1.000,9,2,2,0,0,1,0,7,0,0,0,1.0
0-2より,.231,26,26,6,1,0,0,13,0,0,0,0,0.231
1-2より,.083,36,36,3,0,0,0,15,0,0,0,0,0.083
2-2より,.250,24,24,6,0,0,0,11,0,0,0,0,0.25
3-2より,.273,40,22,6,1,0,0,8,18,0,0,0,0.6
