球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,752,43.0%,146.6,46,197,134,232,50.1%,14.2%,.295,156,46,1,27,28,0
スライダー,245,14.0%,129.2,28,57,33,98,48.2%,31.1%,.170,47,8,1,18,5,1
カットボール,191,10.9%,136.8,14,48,29,69,47.6%,18.9%,.300,30,9,0,1,5,1
フォーク,119,6.8%,135.9,24,10,15,54,41.2%,43.6%,.088,34,3,0,18,2,0
チェンジアップ,114,6.5%,129.8,16,26,12,49,47.4%,41.0%,.111,18,2,0,7,0,0
ツーシーム,104,5.9%,139.2,17,20,16,35,51.0%,34.7%,.350,20,7,0,4,2,0
カーブ,94,5.4%,118.7,10,30,6,43,48.9%,47.6%,.182,11,2,0,6,2,0
シュート,51,2.9%,144.1,7,16,6,17,56.9%,38.9%,.375,8,3,0,3,2,2
スプリット,37,2.1%,136.5,7,3,6,14,43.2%,35.0%,.333,12,4,0,5,0,0
ナックルカーブ,14,0.8%,126.5,0,2,3,8,35.7%,0.0%,.000,2,0,0,1,0,0
シンカー,11,0.6%,125.1,0,2,0,9,18.2%,-%,-,0,0,0,0,1,0
パーム,6,0.3%,112.4,1,3,0,1,66.7%,50.0%,.000,2,0,0,1,0,0
縦スライダー,4,0.2%,120.3,0,1,0,3,25.0%,-%,-,0,0,0,0,0,1
スラーブ,3,0.2%,109.3,0,1,0,2,33.3%,-%,-,0,0,0,0,0,0
パワーカーブ,2,0.1%,125.0,0,0,1,1,50.0%,0.0%,-,0,0,0,0,0,0
スクリュー,2,0.1%,137.5,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
ワンシーム,1,0.1%,145.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
