条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.200,10,10,2,0,0,0,0,0,0,0,0,.200
1-0より,.417,12,12,5,1,0,0,0,0,0,0,0,.417
2-0より,.000,1,1,0,0,0,0,0,0,0,0,0,.000
3-0より,-,0,0,0,0,0,0,0,0,0,0,0,-
0-1より,.273,11,11,3,1,0,0,0,0,0,0,0,.273
1-1より,.467,15,15,7,0,0,0,0,0,0,0,0,.467
2-1より,.000,6,6,0,0,0,0,0,0,0,0,0,.000
3-1より,.333,7,3,1,1,0,0,0,4,0,0,0,.714
0-2より,.000,9,9,0,0,0,0,5,0,0,0,0,.000
1-2より,.200,15,15,3,0,0,0,6,0,0,0,0,.200
2-2より,.217,23,23,5,0,0,0,7,0,0,0,0,.217
3-2より,.364,14,11,4,0,0,1,4,3,0,0,0,.500
