球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
甲子園,.262,42,133,122,7,32,5,0,0,37,8,26,5,1,0,4,2,1,0,8,.287,.303,0.59
東京ドーム,.242,9,38,33,5,8,1,0,3,18,7,10,1,0,0,3,1,0,0,0,.257,.545,0.803
横浜,.120,8,30,25,3,3,0,0,0,3,0,6,5,1,0,0,0,1,1,0,.267,.120,0.387
マツダスタジアム,.000,2,4,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
神宮,.290,11,35,31,5,9,1,0,2,16,2,9,2,0,1,1,0,2,1,0,.353,.516,0.869
バンテリンドーム,.071,6,16,14,0,1,1,0,0,2,0,2,1,1,0,1,0,0,0,0,.133,.143,0.276
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,.286,3,14,14,1,4,0,0,0,4,0,5,0,0,0,0,0,1,0,0,.286,.286,0.571
京セラD大阪,.133,6,20,15,0,2,0,0,0,2,0,3,4,0,0,1,0,1,0,0,.316,.133,0.449
ベルーナドーム,.000,2,7,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,0.0
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
