球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,445,40.0%,147.0,38,81,99,138,49.0%,16.8%,.286,112,32,2,28,7,0
スライダー,158,14.2%,128.4,26,35,17,50,49.4%,35.6%,.194,36,7,0,9,1,1
フォーク,133,12.0%,137.3,29,6,21,57,42.1%,41.4%,.133,30,4,0,11,2,0
カットボール,104,9.4%,136.9,16,21,16,34,51.0%,32.7%,.174,23,4,0,6,3,0
カーブ,75,6.7%,119.3,8,22,7,34,49.3%,42.1%,.286,7,2,1,3,0,0
チェンジアップ,58,5.2%,131.0,12,6,7,20,43.1%,37.5%,.059,17,1,0,5,0,0
スプリット,43,3.9%,139.8,5,5,3,20,30.2%,27.8%,.100,10,1,0,1,0,0
ツーシーム,40,3.6%,146.4,2,8,5,10,37.5%,9.1%,.333,15,5,2,0,1,0
シュート,28,2.5%,144.2,2,6,2,6,35.7%,12.5%,.300,10,3,0,0,0,0
シンカー,14,1.3%,134.5,3,0,2,6,35.7%,37.5%,.000,4,0,0,1,0,0
ナックルカーブ,9,0.8%,123.6,0,2,0,7,22.2%,-%,-,0,0,0,0,1,0
スクリュー,3,0.3%,136.0,1,1,0,0,66.7%,50.0%,.000,1,0,0,0,0,0
パワーカーブ,2,0.2%,125.5,0,1,1,0,100.0%,0.0%,-,0,0,0,0,0,0
