球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
甲子園,.274,61,243,208,18,57,12,0,4,81,36,49,34,6,0,0,1,4,1,3,.374,.389,0.764
東京ドーム,.340,13,57,50,9,17,4,0,2,27,7,3,6,0,1,0,0,1,1,1,.421,.540,0.961
横浜,.368,11,43,38,8,14,4,0,3,27,7,7,4,0,0,0,1,0,0,0,.419,.711,1.129
マツダスタジアム,.191,13,54,47,3,9,1,0,1,13,7,6,5,0,2,0,0,0,0,0,.296,.277,0.573
神宮,.229,12,51,48,4,11,0,0,1,14,2,10,3,0,0,0,0,0,1,1,.275,.292,0.566
バンテリンドーム,.158,11,51,38,3,6,1,0,0,7,7,8,9,1,2,0,2,1,0,0,.333,.184,0.518
Ce その他,.200,3,13,10,1,2,0,0,0,2,1,3,3,0,0,0,0,0,0,0,.385,.200,0.585
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
エスコンＦ,.400,3,13,10,2,4,0,0,2,10,3,2,2,0,1,0,0,0,0,0,.538,1.000,1.538
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,.417,3,14,12,1,5,0,0,0,5,1,2,2,0,0,0,0,0,0,0,.500,.417,0.917
京セラD大阪,.226,8,36,31,3,7,3,1,0,12,4,4,5,0,0,0,0,0,0,0,.333,.387,0.72
ベルーナドーム,.091,3,12,11,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,1,.167,.091,0.258
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
