球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,886,39.0%,147.4,51,155,161,346,41.4%,13.2%,.246,203,50,6,32,29,1
スライダー,358,15.8%,130.8,43,74,43,147,44.7%,31.4%,.219,73,16,2,22,13,1
カットボール,242,10.7%,138.2,25,40,33,94,40.5%,23.1%,.295,61,18,3,11,12,1
チェンジアップ,167,7.4%,128.6,27,21,22,70,41.9%,35.5%,.250,32,8,1,6,3,1
フォーク,165,7.3%,135.4,28,21,24,68,44.2%,36.8%,.216,37,8,1,13,2,1
カーブ,124,5.5%,117.5,8,33,13,53,43.5%,21.1%,.222,18,4,0,2,3,0
ツーシーム,103,4.5%,138.2,9,18,13,33,38.8%,17.3%,.400,30,12,0,0,1,0
シュート,94,4.1%,145.4,6,19,17,31,44.7%,13.6%,.478,23,11,0,2,0,0
スプリット,68,3.0%,137.8,14,5,12,26,45.6%,37.8%,.235,17,4,0,6,2,1
シンカー,20,0.9%,129.9,3,0,7,8,50.0%,25.0%,.000,3,0,0,1,1,0
ナックルカーブ,18,0.8%,125.4,1,5,2,10,44.4%,33.3%,-,0,0,0,0,0,0
スクリュー,10,0.4%,137.7,1,2,3,2,60.0%,16.7%,.500,2,1,0,0,0,0
パーム,5,0.2%,118.4,1,0,2,2,60.0%,33.3%,.000,1,0,0,1,0,0
縦スライダー,4,0.2%,125.0,0,0,0,2,0.0%,0.0%,.500,2,1,0,0,0,0
スラーブ,3,0.1%,107.7,0,1,0,2,33.3%,-%,-,0,0,0,0,0,0
ワンシーム,2,0.1%,143.0,0,1,0,0,50.0%,0.0%,.000,1,0,0,0,0,0
パワーカーブ,1,0.0%,127.0,0,0,0,1,0.0%,-%,-,0,0,0,0,1,0
