球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,14,26.9%,146.0,1,5,2,2,57.1%,14.3%,.000,6,0,0,2,0,0
カットボール,9,17.3%,134.3,0,1,3,2,44.4%,0.0%,.667,3,2,0,0,0,0
カーブ,8,15.4%,121.6,0,2,1,4,37.5%,0.0%,.000,1,0,0,0,0,0
ツーシーム,6,11.5%,134.3,1,2,1,1,66.7%,33.3%,.000,1,0,0,0,0,0
スライダー,5,9.6%,130.4,1,1,2,1,80.0%,33.3%,.000,1,0,0,1,0,0
チェンジアップ,3,5.8%,122.7,0,0,0,1,0.0%,0.0%,.500,2,1,0,0,0,0
フォーク,2,3.8%,-,0,0,0,0,0.0%,0.0%,.000,2,0,0,0,0,0
スプリット,2,3.8%,139.0,0,0,0,1,0.0%,0.0%,.000,1,0,0,0,0,0
シンカー,2,3.8%,142.0,2,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
ナックルカーブ,1,1.9%,124.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
