条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.222,16,9,2,0,0,0,0,1,0,5,1,.273
1-0より,.429,7,7,3,1,0,0,0,0,0,0,0,.429
2-0より,.500,2,2,1,0,0,1,0,0,0,0,0,.500
3-0より,-,0,0,0,0,0,0,0,0,0,0,0,-
0-1より,.500,11,10,5,1,1,0,0,0,0,1,0,.500
1-1より,.286,14,14,4,0,0,0,0,0,0,0,0,.286
2-1より,.200,5,5,1,0,0,0,0,0,0,0,0,.200
3-1より,.000,5,2,0,0,0,0,0,2,1,0,0,.600
0-2より,.000,9,9,0,0,0,0,5,0,0,0,0,.000
1-2より,.368,20,19,7,1,0,0,6,0,0,0,1,.350
2-2より,.207,29,29,6,0,0,1,13,0,0,0,0,.207
3-2より,.000,18,11,0,0,0,0,1,6,1,0,0,.389
