条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.419,49,43,18,3,0,1,0,0,1,4,1,.422
1-0より,.333,21,21,7,1,0,0,0,0,0,0,0,.333
2-0より,.667,3,3,2,0,0,1,0,0,0,0,0,.667
3-0より,-,0,0,0,0,0,0,0,0,0,0,0,-
0-1より,.207,61,58,12,2,1,1,0,0,2,1,0,.233
1-1より,.265,36,34,9,1,0,1,0,0,1,1,0,.286
2-1より,.385,27,26,10,1,0,1,0,1,0,0,0,.407
3-1より,.500,3,2,1,0,0,0,0,1,0,0,0,.667
0-2より,.118,34,34,4,0,0,0,9,0,0,0,0,.118
1-2より,.137,75,73,10,1,0,0,24,0,2,0,0,.160
2-2より,.160,52,50,8,2,0,0,11,0,2,0,0,.192
3-2より,.273,27,22,6,0,0,0,4,5,0,0,0,.407
