球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
甲子園,.157,33,55,51,4,8,0,0,0,8,5,12,2,0,1,1,0,2,3,0,.204,.157,0.361
東京ドーム,.000,6,6,4,4,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,.200,.000,0.2
横浜,.385,5,13,13,3,5,2,1,0,9,5,2,0,0,0,0,0,0,1,0,.385,.692,1.077
マツダスタジアム,.143,9,23,21,3,3,0,0,0,3,0,5,1,0,0,1,0,2,0,0,.182,.143,0.325
神宮,.286,8,23,21,1,6,0,2,0,10,2,5,0,0,0,2,0,0,0,0,.286,.476,0.762
バンテリンドーム,.292,10,24,24,4,7,0,0,1,10,3,3,0,0,0,0,0,1,0,0,.292,.417,0.708
Ce その他,-,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
エスコンＦ,.250,2,5,4,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,.250,.250,0.5
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,.000,3,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,.000,.000,0.0
京セラD大阪,.375,5,9,8,1,3,0,0,0,3,1,0,1,0,0,0,0,0,0,0,.444,.375,0.819
ベルーナドーム,.250,3,8,8,0,2,0,0,0,2,1,3,0,0,0,0,0,1,0,0,.250,.250,0.5
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
