球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
甲子園,.279,60,262,240,35,67,10,0,0,77,7,39,19,0,1,0,2,11,4,2,.332,.321,0.653
東京ドーム,.291,13,59,55,9,16,1,1,1,22,6,8,3,0,1,0,0,2,0,0,.339,.400,0.739
横浜,.304,11,50,46,4,14,3,0,1,20,4,7,4,0,0,0,0,6,1,0,.360,.435,0.795
マツダスタジアム,.365,13,62,52,11,19,3,1,0,24,4,9,10,1,0,0,0,2,0,1,.468,.462,0.929
神宮,.260,12,59,50,4,13,1,0,1,17,3,8,9,0,0,0,0,3,2,0,.373,.340,0.713
バンテリンドーム,.216,12,54,51,7,11,3,1,0,16,4,9,3,0,0,0,0,1,2,0,.259,.314,0.573
Ce その他,.231,3,15,13,1,3,2,0,0,5,0,2,2,0,0,0,0,1,0,0,.333,.385,0.718
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
エスコンＦ,.200,3,14,10,2,2,0,0,0,2,1,0,4,0,0,0,0,2,0,0,.429,.200,0.629
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,.267,3,17,15,1,4,0,0,0,4,1,2,1,0,0,0,1,1,0,0,.294,.267,0.561
京セラD大阪,.300,7,33,30,2,9,2,1,0,13,4,2,3,0,0,0,0,1,0,0,.364,.433,0.797
ベルーナドーム,.182,3,13,11,0,2,0,0,0,2,0,2,2,0,0,0,0,2,0,0,.308,.182,0.49
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
