球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,1113,44.9%,146.7,36,258,222,381,46.4%,7.6%,.335,242,81,2,28,30,0
スライダー,310,12.5%,128.9,27,81,49,98,50.6%,20.6%,.269,67,18,1,12,1,0
カットボール,254,10.2%,136.7,20,50,40,93,43.3%,18.0%,.238,63,15,0,12,11,1
フォーク,203,8.2%,136.7,26,12,36,88,36.5%,25.2%,.193,57,11,0,17,6,0
ツーシーム,145,5.8%,142.4,6,28,28,49,42.8%,8.8%,.200,35,7,0,1,3,1
カーブ,140,5.6%,119.9,7,49,11,55,47.9%,19.4%,.381,21,8,0,3,1,0
チェンジアップ,125,5.0%,131.6,13,18,21,47,41.6%,21.7%,.212,33,7,0,7,4,0
シュート,54,2.2%,143.4,3,7,10,15,37.0%,9.4%,.286,21,6,0,2,1,0
スプリット,48,1.9%,140.1,3,5,8,16,33.3%,11.1%,.235,17,4,0,1,0,0
シンカー,39,1.6%,131.0,4,5,11,11,51.3%,17.4%,.091,11,1,0,3,0,0
ナックルカーブ,29,1.2%,127.6,2,6,1,18,31.0%,40.0%,.000,3,0,0,1,2,0
スクリュー,6,0.2%,136.7,1,0,1,3,33.3%,33.3%,.500,2,1,0,1,0,0
スローカーブ,4,0.2%,91.3,0,1,0,3,25.0%,-%,-,0,0,0,0,0,0
パーム,4,0.2%,116.5,0,0,0,3,0.0%,0.0%,1.000,1,1,0,0,0,0
縦スライダー,3,0.1%,124.3,0,1,0,2,33.3%,-%,-,0,0,0,0,0,0
スラーブ,1,0.0%,105.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
ワンシーム,1,0.0%,147.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
