球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
甲子園,.136,14,24,22,0,3,0,0,0,3,1,7,1,0,0,0,1,0,0,0,.167,.136,0.303
東京ドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
横浜,.250,2,4,4,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,.250,.500,0.75
マツダスタジアム,.429,6,9,7,1,3,1,0,0,4,1,2,2,0,0,0,0,0,0,0,.556,.571,1.127
神宮,.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
バンテリンドーム,.250,2,4,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.250,.500,0.75
Ce その他,1.000,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.0
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
エスコンＦ,.000,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,.273,3,12,11,1,3,1,0,0,4,2,3,1,0,0,0,0,0,0,0,.333,.364,0.697
京セラD大阪,.500,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500,.500,1.0
ベルーナドーム,.000,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,0.0
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
