球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
甲子園,0.00,11,0,11,1,0,8,0,9,1,1,0,8.2,3,0,5,2,0,0,0,0.58,0.115,-,99.00
東京ドーム,2.70,6,0,6,1,1,2,0,3,1,1,1,6.2,6,0,2,3,0,2,2,1.35,0.286,-,3.33
横浜,18.00,1,0,1,0,0,0,0,0,0,0,0,1.0,3,1,0,0,0,2,2,3.0,0.6,-,0.50
マツダスタジアム,0.00,5,0,5,0,0,4,0,4,0,0,0,3.1,1,0,4,3,0,0,0,1.2,0.091,-,99.00
神宮,0.00,2,0,2,0,0,2,0,2,0,0,0,1.1,0,0,2,0,0,0,0,0.0,0.0,-,99.00
バンテリンドーム,0.00,7,0,7,2,0,3,0,5,2,2,0,8.0,3,0,7,5,0,0,0,1.0,0.125,-,99.00
Ce その他,0.00,2,0,2,0,0,1,0,1,0,0,0,2.0,1,0,2,0,0,0,0,0.5,0.143,-,99.00
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
エスコンＦ,0.00,1,0,1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.0,0.0,-,99.00
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,3.86,2,0,2,0,1,1,0,1,0,0,1,2.1,5,0,2,0,0,1,1,2.14,0.417,-,2.33
京セラD大阪,10.80,2,0,2,0,1,1,0,1,0,0,1,1.2,3,0,2,1,1,2,2,2.4,0.375,-,0.83
ベルーナドーム,81.00,1,0,1,0,1,0,0,0,0,0,1,0.1,1,0,1,1,1,3,3,6.0,0.5,-,0.11
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
