球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
甲子園,.188,27,56,48,2,9,0,0,0,9,2,9,5,1,0,2,1,2,0,1,.259,.188,0.447
東京ドーム,.167,7,22,18,2,3,1,0,0,4,1,6,4,0,0,0,0,0,0,0,.318,.222,0.54
横浜,.286,6,16,14,0,4,1,0,0,5,1,7,2,0,0,0,0,0,1,0,.375,.357,0.732
マツダスタジアム,.143,4,8,7,1,1,0,0,0,1,0,3,0,0,0,1,0,1,0,0,.143,.143,0.286
神宮,.200,8,24,20,3,4,1,0,1,8,1,6,3,0,1,0,0,1,0,1,.333,.400,0.733
バンテリンドーム,.200,5,13,10,0,2,1,0,0,3,0,3,2,0,0,1,0,0,0,0,.333,.300,0.633
Ce その他,.333,1,5,3,1,1,0,0,1,4,1,1,0,0,0,2,0,0,0,0,.333,1.333,1.667
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
エスコンＦ,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
楽天モバイル,.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
京セラD大阪,.538,7,15,13,1,7,0,0,0,7,1,2,2,0,0,0,0,0,0,0,.600,.538,1.138
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
